twa/tws;0;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0;0
52;0;4.52;5.34;5.8;6.03;6.14;6.19;6.2
60;0;4.76;5.58;5.95;6.17;6.31;6.38;6.4
75;0;4.94;5.73;6.07;6.3;6.52;6.7;6.84
90;0;5.05;5.89;6.27;6.49;6.63;6.87;7.28
110;0;5.09;5.96;6.36;6.75;7.12;7.36;7.71
120;0;4.93;5.85;6.29;6.67;7.09;7.51;8.13
135;0;4.47;5.44;6.04;6.4;6.79;7.22;8.24
150;0;3.81;4.76;5.57;6.09;6.42;6.78;7.6
180;0;3.81;4.76;5.57;6.09;6.42;6.78;7.6
